(0, 0, 0),(0, 0, 0),(253, 253, 253),(205, 205, 205),(167, 167, 167),(139, 139, 139),(139, 139, 139),(167, 167, 167),(205, 205, 205),(253, 253, 253),(0, 0, 0),(0, 0, 0)
(0, 0, 0),(239, 239, 239),(169, 169, 169),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(169, 169, 169),(239, 239, 239),(0, 0, 0)
(255, 255, 255),(169, 169, 169),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(169, 169, 169),(255, 255, 255)
(209, 209, 209),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(255, 255, 255),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(209, 209, 209)
(169, 169, 169),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(255, 255, 255),(255, 255, 255),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(169, 169, 169)
(139, 139, 139),(126, 126, 126),(126, 126, 126),(126, 126, 126),(255, 255, 255),(255, 255, 255),(255, 255, 255),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(139, 139, 139)
(139, 139, 139),(126, 126, 126),(126, 126, 126),(126, 126, 126),(255, 255, 255),(255, 255, 255),(255, 255, 255),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(139, 139, 139)
(171, 171, 171),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(255, 255, 255),(255, 255, 255),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(169, 169, 169)
(217, 217, 217),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(255, 255, 255),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(217, 217, 217)
(255, 255, 255),(177, 177, 177),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(177, 177, 177),(255, 255, 255)
(0, 0, 0),(253, 253, 253),(177, 177, 177),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(126, 126, 126),(177, 177, 177),(253, 253, 253),(0, 0, 0)
(0, 0, 0),(0, 0, 0),(255, 255, 255),(219, 219, 219),(177, 177, 177),(139, 139, 139),(139, 139, 139),(177, 177, 177),(219, 219, 219),(255, 255, 255),(0, 0, 0),(0, 0, 0)
